Hiders,Seekers,Cells,Obstacles,Lying Probability,Max Rounds,Rounds Played,Agents Lied
6,2,160,66,0.6710663510266222,49,39,true
2,2,25,0,0.39123417787463277,13,11,false
4,2,160,79,0.0010199490509088527,31,21,false
2,2,25,0,0.9443508728776623,25,14,false
6,2,160,66,0.11470435628984488,39,26,false
1,1,49,0,0.8340304434525281,19,9,false
6,2,160,66,0.27801761228502786,21,17,false
1,2,49,9,0.7258703752476293,50,50,false
1,1,49,0,0.5366501227758651,24,12,false
4,2,160,79,0.7791708802920394,34,34,true
2,2,25,0,0.03957721777536305,10,7,false
4,2,160,79,0.22711440835150842,43,36,false
1,1,49,0,0.44250082096306065,26,13,false
6,2,160,66,0.747276701510666,14,8,false
2,2,49,8,0.03849083501655026,28,15,false
4,2,160,79,0.7140203459033777,23,15,true
4,2,160,79,0.14251764347954765,17,17,false
2,2,49,8,0.4911881188322067,50,25,false
2,2,49,8,0.7455197539144173,29,15,true
1,1,49,0,0.8117306377974751,16,9,false
2,2,25,0,0.3902733716275326,38,17,false
2,2,49,8,0.6976627750631185,13,9,false
6,2,160,66,0.8764401441170548,33,30,true
2,2,25,0,0.5460068243023043,24,13,false
1,1,49,0,0.49437951023534854,28,14,false
1,2,49,9,0.7170735697007864,17,17,false
2,2,49,8,0.30632689424324344,48,22,true
2,2,25,0,0.7759396455856098,17,7,false
6,2,160,66,0.2635742665407719,49,31,false
6,2,160,66,0.7476489569936948,28,20,false
2,2,49,8,0.1214015602354187,26,14,false
1,2,49,9,0.41537591838272736,19,19,false
6,2,160,66,0.9437022022016537,47,19,true
2,2,49,8,0.6900701047407586,12,8,false
2,2,49,8,0.296905500319255,24,13,false
6,2,160,66,0.2499005669666602,38,38,true
4,2,160,79,0.24615082618493023,25,15,false
6,2,160,66,0.8994560095259904,26,26,true
6,2,160,66,0.830098782659306,43,19,true
2,2,49,8,0.07856173959382762,37,19,false
2,2,25,0,0.6646412283830938,28,12,false
2,2,25,0,0.7528234164988298,40,18,false
1,1,49,0,0.19848665832840995,35,19,false
2,2,49,8,0.4155860346232769,10,8,false
4,2,160,79,0.6524187955084398,27,18,true
4,2,160,79,0.4538488122750831,25,19,false
2,2,49,8,0.897713664262008,30,16,false
